Sample;SITE;Awayvsclosetoreef;SmallvsLargemetacommunity;Metacommunityrep;acaro3;M10;M15;Amphipoda1;Amphipoda15;Amphipoda17,Amphitoerubricata(cf);Amphipoda2;Abludomelita obtusata;Amphipoda25;Amphipoda26,Ampeliscidae;Amphipoda7;Amphipoda8;Aoragracilis;Apherusajurinei(cf);Dexamine spinosa;Ericthoniusdifformis;Ericthoniuspunctatus;Gammarellafucicola;Jassafalcata;Maeragrossimana;Phtisicamarina;Pseudoprotellaphasma;Caprellaacanthifera;Caprellalinearis;Thalassosmittiaatlantica;M13;Copepoda4;Copepoda1;Copepoda2;Copepoda3;Decapoda1;Decapoda2;Decapoda3;Decapoda4;Decapoda5;Decapoda,santola;M7;Macropodiasp.;Paguridae;Pagurus2;Diastylissp.;M9(larvaequinoderme);Ophioctenaffinis;Ophiuridae1;Ophiuridae2;ourico1;ourico2;ouricobranco;Diplecogaster;Peixe2;Foraminifera1;Foraminifera3;Foraminifera4;Alvaniaangioyi;Alvaniacancellata;Bittiumnanum;Caecumwayae;Gastropoda1;Gastropoda12;Gastropoda8(achoqueeTricolia);Gibbulamagus;Jaeropsisbrevicornis;Jujubinuspseudogravinae;Lamellariaperspicua;Manzoniaunifasciata;Microprotopusmaculatus;Nassariuscuvierii(cf);Nassariusrecidivus(cf);Odostomiabernardi(cf);Omalogyraatomus;Philinesp.;Raphitomasp.;Raphitomasp2;Raphitomasp.3;Retusatruncatula;Rissoelasp2(cf);Setiasubvaricosa;Solariellaazorensis;Tricoliapullusazorica;Trophonopsismuricatus;Anthuragracilis;Dynamenebidentata;Gnathiamaxillaris;Janiropsisbreviremis;Polychaeta1;Polychaeta12;Polychaeta15;Polychaeta16;Polychaeta17;Polychaeta18;Polychaeta19;Polychaeta2;Polychaeta20;Polychaeta21;Polychaeta3;Polychaeta5;Polychaeta8;Euphrosinefoliosa;Nereidae;Nudibranchia1;Nudibranchia2;Nudibranchia4;Nudibranchia5;Nudibranchia6;Oligochaeta2;Oligochaeta3;M11;M14;M19;M6;Lepidogaster/Diplecogaster;planaria;Acheliaechinata;Callipalleneemaciata;M1;M20;M3;M4;M5;M8;Leptocheliacaldera;Paratanaismartinsi;Tanaisgrimaldii;M12;M18;M2;M21;M24;B4;B5;Chlamissp.;Chlamissp2;Erviliacastanea;Limariahians;Papillicardiumpapillosum;Bryozoa1;Bryozoa2;Bryozoa3;Bryozoa4;Bryozoa5;Bryozoa7;Bryozoarosa;Crosta3;Cnidaria,Anthozoa;Spongia;Grantiasp.;Syconsp.;Annelidaew/otube;Spirorbidae;Tubeworm
s11;site 1;Away;Small;1;0;0;4;125;185;93;1;0;0;0;5;21;13;9;0;0;37;0;201;0;369;0;0;81;0;0;0;9;0;0;5;0;0;0;0;0;0;0;0;0;37;1;4;0;0;0;0;0;0;0;17;0;0;5;0;0;0;0;1;0;0;9;9;0;0;21;0;0;0;0;0;0;0;0;0;1;5;0;65;0;5;5;0;0;0;0;0;0;0;17;0;0;0;0;13;0;0;0;17;4;0;0;0;5;1;37;0;0;1;1;0;5;9;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;53;1;5;0;0;0;0;0;9;0;0;1;0;0;5;9;0;1
s12;site 1;Away;Small;1;0;0;0;179;149;59;3;0;0;0;5;17;7;9;0;0;63;0;247;0;255;0;0;55;0;0;0;0;0;0;5;0;0;0;0;0;0;2;0;0;25;0;6;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;19;0;0;0;0;0;0;0;0;0;0;9;0;37;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;7;7;5;0;0;0;0;0;0;8.5;0;4;0;0;0;0;0;0;0;0;0;29;5;0;0;0;0;0;0;6.5;0;0;3;0;0;0;0;0;0
s13;site 1;Away;Small;2;0;0;4;341;101;73;5;0;0;0;5;5;5;13;0;0;57;5;261;0;73;0;0;25;0;0;0;0;0;0;4;8;0;0;0;0;4;0;0;0;21;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;25;0;0;0;0;0;0;0;0;0;0;5;0;1;0;25;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;17;0;0;0;0;0;0;5;0;0;0;0;0;4;1;5;0;0;0;0;0;0;5;0;8;0;0;0;0;0;0;0;1;0;25;21;5;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0
s14;site 1;Away;Small;2;0;4;0;276;40;16;0;0;0;4;0;4;1;16;0;0;76;4;180;0;128;0;0;56;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;16;0;12;8;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;20;0;0;0;0;0;8;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
s15;site 1;Away;Small;2;0;0;0;543;0;0;0;0;0;0;3;4;0;0;9;0;34;4;11;0;110;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;5;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;15;0;4;9;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;8;0;0;0;0;0;17;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;13;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;20
s16;site 1;Away;Small;3;0;9;0;453;305;101;8;0;0;0;33;33;9;5;0;0;209;0;201;8;213;0;0;45;0;0;0;5;0;0;5;0;0;0;0;0;0;1;0;0;41;0;1;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;13;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;1;0;25;12;0;0;0;0;0;0;0;0;4;0;4;0;25;0;0;0;33;0;0;0;0;0;0;5;0;0;0;4;0;9;17;4;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;1;0;9;1;0;0;0;5;0;0;0;0;0;13;1;0;5;0;0;0
s17;site 1;Away;Small;3;0;0;0;420;260;72;0;0;0;0;4;20;8;12;0;0;176;0;412;4;304;0;0;60;0;4;0;0;0;0;16;0;0;0;0;0;1;0;0;0;28;4;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;8;8;0;0;28;0;0;0;0;0;0;0;0;0;0;4;0;16;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;16;0;0;0;0;0;4;28;0;4;0;0;0;0;1;8;0;0;0;0;0;0;0;8;4;0;1;0;0;0;0;1;0;0;80;24;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;64
s18;site 1;Away;Small;3;0;0;13;421;261;185;13;8;0;0;17;21;9;21;12;0;157;0;453;1;285;0;0;17;0;8;0;9;0;0;5;0;0;0;0;0;1;0;0;0;129;0;1;0;0;0;1;0;0;0;5;0;1;5;0;0;1;0;0;0;0;1;0;0;0;25;0;0;0;5;0;0;0;0;0;0;1;0;5;0;25;17;0;0;0;0;0;0;0;5;0;0;0;0;21;0;0;0;17;0;0;0;0;0;9;25;0;1;8;1;0;5;9;25;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;4;81;13;1;0;0;5;0;0;9;0;0;13;5;0;5;5;0;81
s19;site 1;Close;Large;1;0;0;0;44;20;28;0;0;0;0;8;0;1;4;0;0;4;1;12;0;80;0;1;8;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;8;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;12;0;0;0;0;0;0;1;0;0;0;1;0;4;4;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
s20;site 1;Close;Large;1;0;0;0;97;33;29;0;0;0;0;1;0;0;1;0;0;17;17;29;1;29;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;5;0;9;0;0;1;0;0;0;0;0;5;0;0;0;0;5;0;0;0;17;0;0;0;0;0;1;5;0;0;0;0;0;1;21;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;9;9;1;1;0;0;0;0;5;0;0;0;0;0;0;0;0;1
